industry,Job_Title,State,zip_code,City,TitleLevel
,SENIOR HUMAN RESOURCES MANAGER,,,,
,CHIEF HUMAN RESOURCES OFFICER,,,,
,CHIEF FINANCIAL OFFI,,,,
,CO FOUNDER,,,,
,LIBRARY DIRECTOR,,,,
,MANAGER OPERATIONS,,,,
,EXECUTIVE ASSISTANT TO THE PRESIDENT,,,,
,SENIOR EXECUTIVE,,,,
,PURCHASING EXECUTIVE,,,,
,%Pastor%,,,,
,Lead Pastor,,,,
,%Dean%,,,,
,%principle%,,,,
,%Lead%,,,,
,%Attorney%,,,,
,CTO,,,,
